CÓDIGO	CÓDIGO OPCIONAL	TIPO	DESCRIÇÃO	LOCAL	UN.	DIMENSÃO	CLIENTE	LOTE	ITEM NF	NF	VALIDADE	ESTAÇÃO	QTD ESTOQUE	DATA ENTRADA
1001922	8490573-4270798	PAINEL	PAINEL,SANDUICHE, .28 POL-BALSA/AL 2024T3 .020"/.012"	DEFINIR	UN	4.46	EMBRAER	C016635025	3	1455818.0		4.46	1	2025-12-01 10:50:26
1033657	9741910-7725991-2706072	HARDWARE	REBITE CEGO - NAS9302B-4-02	C2.4	UN	1.0	EMBRAER	C017282638	28	1933744.0		25.0	17	2025-12-01 10:50:26
1033685	7725963 - 2706555 - 2214838 - 32624	HARDWARE	REBITE CEGO-CABECA UNIVERSAL,  NAS9301B-4-02	B2.6	UN	1.0	EMBRAER	C031470563	1	02304817		100.0	0	2025-12-01 10:50:26
1033685	7725963 - 2706555 - 2214838 - 32624	HARDWARE	REBITE CEGO-CABECA UNIVERSAL,  NAS9301B-4-02	B2.6	UN	1.0	EMBRAER	C031470563	2	02304817 		100.0	21	2025-12-01 10:50:26
1033685	7725963 - 2706555 - 2214838 - 32624	HARDWARE	REBITE CEGO-CABECA UNIVERSAL,  NAS9301B-4-02	B2.6	UN	1.0	EMBRAER	C031962118	1	2400744		100.0	96	2025-12-02 07:59:16
1033685	7725963 - 2706555 - 2214838 - 32624	HARDWARE	REBITE CEGO-CABECA UNIVERSAL,  NAS9301B-4-02	B2.6	UN	1.0	EMBRAER	C031962118	2	2400744		100.0	103	2025-12-02 07:59:34
1039128	2706416-7725852	HARDWARE	REBITE CEGO - NAS9301B-4-03	A2.1	UN	1.0	EMBRAER	C024445732	1	1894828.0		100.0	44	2025-12-01 10:50:26
1039128	2706416-7725852	HARDWARE	REBITE CEGO - NAS9301B-4-03	A2.1	UN	1.0	EMBRAER	C024450645	6	1894828.0		100.0	52	2025-12-01 10:50:26
1039128	2706416-7725852	HARDWARE	REBITE CEGO - NAS9301B-4-03	A2.1	UN	1.0	EMBRAER	C024445732	2	1894828.0		100.0	21	2025-12-01 10:50:26
1039128	2706416-7725852	HARDWARE	REBITE CEGO - NAS9301B-4-03	A2.1	UN	1.0	EMBRAER	C023648174	1	1894828.0		100.0	30	2025-12-01 10:50:26
10P20-13	KIT	PERECÍVEIS	HIG SOLIDS PRIME, BASE, COMPONET A - CS-03-026	E3.1	KIT	1.0	UTEC	8472514030	1	54948.0	2026-02-28	1.0	0	2025-12-01 10:50:26
10P20-13	KIT	PERECÍVEIS	HIG SOLIDS PRIME, BASE, COMPONET A - CS-03-026	E3.1	KIT	1.0	UTEC	8472514030	1	54964	2026-02-28	1.0	0	2025-12-10 08:42:53
1109446		PERECÍVEIS	PLACA AMORTECEDORA-VIBRACAO/SOM, AUTO ADESIVA, AL/PVC        	J3.3	M2	0.56	EMBRAER	C030015595	1	2360331.0	2025-12-22	6.0	0	2025-12-01 10:50:26
1109446		PERECÍVEIS	PLACA AMORTECEDORA-VIBRACAO/SOM, AUTO ADESIVA, AL/PVC        	J3.3	M2	0.56	EMBRAER	C030911669	2	2332894.0	2026-02-08	6.0	7	2025-12-01 10:50:26
1109446		PERECÍVEIS	PLACA AMORTECEDORA-VIBRACAO/SOM, AUTO ADESIVA, AL/PVC        	J3.3	M2	0.56	EMBRAER	C030911669	1	2332894.0	2026-02-08	6.0	13	2025-12-01 10:50:26
1109446		PERECÍVEIS	PLACA AMORTECEDORA-VIBRACAO/SOM, AUTO ADESIVA, AL/PVC        	J3.3	M2	0.56	EMBRAER	C030911635	1	2407582	2026-08-02	6.0	12	2025-12-17 10:42:23
1109446		PERECÍVEIS	PLACA AMORTECEDORA-VIBRACAO/SOM, AUTO ADESIVA, AL/PVC        	J3.3	M2	0.56	EMBRAER	C030911635	2	2407582	2026-08-02	6.0	12	2025-12-17 10:42:37
1118253	8871221-70751-6410691	HARDWARE	SUPORTE-FIXAÇÃO	A2.2	UN	1.0	EMBRAER	C024220354	2	2060768.0		200.0	0	2025-12-01 10:50:26
1118253	8871221-70751-6410691	HARDWARE	SUPORTE-FIXAÇÃO	A2.2	UN	1.0	EMBRAER	C024220354	3	2060768.0		200.0	179	2025-12-01 10:50:26
1118253	8871221-70751-6410691	HARDWARE	SUPORTE-FIXAÇÃO	A2.2	UN	1.0	EMBRAER	C024220354	5	2060768.0		200.0	182	2025-12-01 10:50:26
1140554	5697818-2055902-4727049	PAINEL	PAINEL,SANDUICHE,.40POL - NOMEX, VIDRO/RESINA EPOXI, TIPOI	DEFINIR	UN	3.77	EMBRAER	C024300287	1	2135159.0		11.32	4	2025-12-01 10:50:26
1140554	5697818-2055902-4727049	PAINEL	PAINEL,SANDUICHE,.40POL - NOMEX, VIDRO/RESINA EPOXI, TIPOI	DEFINIR	UN	3.77	EMBRAER	C024300287	3	2097350.0		11.32	0	2025-12-01 10:50:26
116897	1938350	PERECÍVEIS	PRIMER,BASE D'AGUA,BRANCO-PARA COMPOSTO, TIPO I	G4.5	L	2.77	EMBRAER	C031381430	4	2341025.0	2026-01-25	11.08	3,8934	2025-12-01 10:50:26
116897	1938350	PERECÍVEIS	PRIMER,BASE D'AGUA,BRANCO-PARA COMPOSTO, TIPO I	G4.5	L	2.77	EMBRAER	C031381430	6	2341025.0	2026-01-25	11.08	3,94	2025-12-01 10:50:26
